County,Emergency Medicine,Family Medicine,Internal Medicine,Obstetrics Gynecology,Pediatrics,Total,Population
Alameda,266,276,596,221,370,1729,1648556
Alpine,0,0,0,0,0,0,1235
Amador,2,11,16,1,2,32,41259
Butte,35,36,42,17,18,148,208309
Calveras,3,4,4,1,3,15,46221
Colusa,3,3,0,1,0,7,21917
Contra Costa,142,251,386,137,208,1124,1161413
Del Norte,3,5,6,2,1,17,28100
El Dorado,27,34,24,10,16,111,193221
Fresno,87,164,233,82,93,659,1013581
Glenn,1,0,2,0,2,5,28805
Humboldt,13,38,12,10,11,84,136310
Imperial,13,21,17,9,6,66,179851
Inyo,9,6,3,3,1,22,18970
Kern,49,132,140,61,67,449,917673
Kings,6,29,13,10,7,65,153443
Lake,8,7,9,5,5,34,68766
Lassen,6,6,4,3,3,22,33159
Los Angeles,1063,1465,2429,887,1383,7227,9829544
Madera,19,17,11,6,44,97,159410
Marin,42,39,111,36,60,288,260206
Mariposa,4,1,1,0,0,6,17147
Mendocino,15,25,11,7,9,67,91305
Merced,17,41,18,13,11,100,286461
Modoc,5,0,0,0,0,5,8661
Mono,8,3,0,5,3,19,13247
Monterey,47,90,67,36,49,289,437325
Napa,10,33,45,12,14,114,136207
Nevada,27,23,22,7,6,85,103487
Orange,302,600,691,282,481,2356,3167809
Placer,89,118,150,51,74,482,412300
Plumas,11,4,1,1,0,17,19915
Riverside,157,325,357,124,189,1152,2458395
Sacramento,240,298,453,164,216,1371,1588921
San Benito,7,5,2,2,5,21,66677
San Bernardino,173,342,343,128,218,1204,2194710
San Diego,442,628,822,303,494,2689,3286069
San Francisco,167,148,505,148,169,1137,815201
San Joaquin,59,137,169,67,89,521,789410
San Luis Obispo,44,60,63,23,23,213,283159
San Mateo,97,93,277,98,155,720,737888
Santa Barbara,59,87,102,39,55,342,446475
Santa Clara,233,321,773,270,422,2019,1885508
Santa Cruz,24,101,48,24,38,235,267792
Shasta,24,46,35,9,12,126,182139
Sierra,0,1,0,0,0,1,3283
Siskiyou,7,11,5,3,3,29,44118
Solano,62,116,119,46,55,398,451716
Sonoma,77,182,102,56,63,480,485887
Stanislaus,67,123,130,45,66,431,552999
Sutter,2,29,9,6,14,60,99063
Tehama,2,10,9,1,7,29,65498
Trinity,2,1,0,0,0,3,16060
Tulare,17,58,63,28,52,218,477054
Tuolumne,13,10,21,5,5,54,55810
Ventura,74,226,150,72,112,634,839784
Yolo,16,58,31,19,18,142,216986
Yuba,7,10,10,2,2,31,83421
